id;name;answer;number_of_answer;status;answer_to_choose;transcript
1;Chicken violet yellow;generate;92576;67297;Wyoming Right-sized;PCI Configuration
2;deposit Incredible Soft Car;Awesome Burundi Franc index;34602;73081;Manager Money Market Account compressing;Georgia Borders Buckinghamshire
3;dynamic Fresh South Dakota;Home Loan Account;54463;51199;overriding Synchronised e-commerce;Shirt Principal
4;East Caribbean Dollar ivory;Tasty Concrete Sausages Zambia Jewelery;15845;83147;Zambian Kwacha Mouse;PNG
5;Steel;Supervisor Games Officer;59982;68484;Mobility Sleek Soft Tuna;parse radical Track
6;open-source indexing Practical Concrete Mouse;Rhode Island;1231;4778;Uruguay deposit;Global bus Tasty
7;Tuna;Netherlands Antilles teal Planner;11126;17442;interface Credit Card Account Assistant;Manat Tonga
8;matrix;Sierra Leone;38595;34320;Legacy Fantastic Plastic Towels SQL;invoice
9;Wooden Gloves Borders;Handmade Soft Ball JSON;74389;92193;24 hour;mission-critical
10;Causeway;Money Market Account Mountain;11141;85843;Brazilian Real connect synthesizing;New York redefine parse
