id;parent_id;name;code;description;status;icon;path;update_time;type
1;90971;Metrics;SAS;Pataca National orchestrate;73668;PCI quantifying Kansas;quantify;2021-06-04T11:39:06;89063
2;89160;Pizza;New Mexico Music;Frozen Rhode Island back-end;97218;Legacy alliance;Berkshire;2021-06-04T09:11:41;68854
3;86910;Avon Faroe Islands Small;Pizza;enhance United Arab Emirates;39815;Egyptian Pound;Directives;2021-06-05T00:11:16;49173
4;53293;open system;Bosnia and Herzegovina cyan;bluetooth;15720;Mandatory mobile card;Checking Account Tools;2021-06-04T12:01:20;45579
5;22513;invoice;ivory Implemented;feed hacking Missouri;74861;B2C;hardware Outdoors Iowa;2021-06-04T22:43:02;6117
6;85677;Checking Account;fuchsia;action-items payment transmit;76192;Ergonomic Steel Hat back-end red;Infrastructure synthesize;2021-06-04T07:26:43;66505
7;88802;neural parse;reinvent Toys Greens;Assurance Cotton;60147;IB deposit Infrastructure;Regional invoice;2021-06-04T15:20:41;78969
8;57384;system-worthy;Security Shoals;Overpass fresh-thinking;62137;multi-byte Markets;Sweden Course;2021-06-04T22:59:07;23242
9;79857;Avon Savings Account Granite;Computer;paradigms Pennsylvania;55139;migration;Brooks;2021-06-04T22:26:42;99682
10;69835;incremental vortals;compress Communications;Cayman Islands;25085;parse Tunnel Wooden;back up Handmade Wooden Towels;2021-06-04T08:22:26;42859
